attributes,values,game_size,vocab_size_factor,n_epochs,batch_size,learning_rate,hidden_size,temp_update,temperature,train_loss,train_accuracy,test_loss,test_accuracy
3,4,10,3.0,60.0,32,0.0005,128,0.97,1.0,0.2352907955646515,0.8992708325386047,0.2720322012901306,0.8879194855690002
3,4,10,3.0,60.0,32,0.0005,128,0.99,1.0,0.129705011844635,0.9517778158187866,0.22740456461906433,0.9314748644828796
3,4,10,3.0,60.0,32,0.0005,128,0.97,1.5,0.09722800552845001,0.9659871459007263,0.16100379824638367,0.9546979069709778
3,4,10,3.0,60.0,32,0.0005,128,0.99,1.5,0.1504734307527542,0.9412624835968018,0.24446254968643188,0.9120141267776489
3,4,10,3.0,60.0,32,0.0005,128,0.97,2.0,0.09088324755430222,0.9592770934104919,0.11532340198755264,0.9501689076423645
3,4,10,3.0,60.0,32,0.0005,128,0.99,2.0,0.18756774067878723,0.9251998662948608,0.23030397295951843,0.9114840626716614
3,4,10,3.0,60.0,32,0.0005,256,0.97,1.0,0.17337051033973694,0.9317878484725952,0.2132536917924881,0.9245582818984985
3,4,10,3.0,60.0,32,0.0005,256,0.99,1.0,0.15301015973091125,0.9430345296859741,0.17160677909851074,0.9430122375488281
3,4,10,3.0,60.0,32,0.0005,256,0.97,1.5,0.0716564729809761,0.9720558524131775,0.14731526374816895,0.9562202095985413
3,4,10,3.0,60.0,32,0.0005,256,0.99,1.5,0.013627678155899048,0.9961439967155457,0.0879329964518547,0.9819257855415344
3,4,10,3.0,60.0,32,0.0005,256,0.97,2.0,0.07329646497964859,0.9725955128669739,0.13793331384658813,0.9584531784057617
3,4,10,3.0,60.0,32,0.0005,256,0.99,2.0,0.019186999648809433,0.9938403367996216,0.05778335779905319,0.9864768981933594
3,4,10,3.0,60.0,32,0.001,128,0.97,1.0,0.1264934241771698,0.9493999481201172,0.1484047919511795,0.9455515146255493
3,4,10,3.0,60.0,32,0.001,128,0.99,1.0,0.046976760029792786,0.9807416200637817,0.04250486195087433,0.9855871200561523
3,4,10,3.0,60.0,32,0.001,128,0.97,1.5,0.09803088754415512,0.9631211757659912,0.15698404610157013,0.9481824040412903
3,4,10,3.0,60.0,32,0.001,128,0.99,1.5,0.01869562827050686,0.9950692057609558,0.025826286524534225,0.9907986521720886
3,4,10,3.0,60.0,32,0.001,128,0.97,2.0,0.08934396505355835,0.968146800994873,0.14865656197071075,0.953321635723114
3,4,10,3.0,60.0,32,0.001,128,0.99,2.0,0.03759656101465225,0.9891514778137207,0.10656306892633438,0.9704861044883728
3,4,10,3.0,60.0,32,0.001,256,0.97,1.0,0.6809058785438538,0.5411391854286194,0.6834346652030945,0.5412370562553406
3,4,10,3.0,60.0,32,0.001,256,0.99,1.0,0.24015752971172333,0.9000303149223328,0.21313463151454926,0.9133859872817993
3,4,10,3.0,60.0,32,0.001,256,0.97,1.5,0.10120583325624466,0.9625534415245056,0.11881058663129807,0.9493139982223511
3,4,10,3.0,60.0,32,0.001,256,0.99,1.5,0.06307178735733032,0.9761000871658325,0.09262299537658691,0.9692056179046631
3,4,10,3.0,60.0,32,0.001,256,0.97,2.0,0.07026489824056625,0.9759407639503479,0.10868656635284424,0.9617748260498047
3,4,10,3.0,60.0,32,0.001,256,0.99,2.0,0.02860540710389614,0.9903734922409058,0.14062099158763885,0.9706187844276428
3,4,10,3.0,60.0,64,0.0005,128,0.97,1.0,0.1780989021062851,0.9258667230606079,0.202926903963089,0.9089161157608032
3,4,10,3.0,60.0,64,0.0005,128,0.99,1.0,0.14272351562976837,0.9487303495407104,0.15323419868946075,0.9496466517448425
3,4,10,3.0,60.0,64,0.0005,128,0.97,1.5,0.15455791354179382,0.9432696104049683,0.18069863319396973,0.9315183758735657
3,4,10,3.0,60.0,64,0.0005,128,0.99,1.5,0.1134410873055458,0.95926433801651,0.15832877159118652,0.9438163042068481
3,4,10,3.0,60.0,64,0.0005,128,0.97,2.0,0.18673492968082428,0.93479984998703,0.22227223217487335,0.9277777075767517
3,4,10,3.0,60.0,64,0.0005,128,0.99,2.0,0.13607223331928253,0.9510928988456726,0.2579341232776642,0.9090909361839294
3,4,10,3.0,60.0,64,0.0005,256,0.97,1.0,0.11838183552026749,0.9548669457435608,0.21333833038806915,0.9268218874931335
3,4,10,3.0,60.0,64,0.0005,256,0.99,1.0,0.09897003322839737,0.963202714920044,0.15959568321704865,0.9461805820465088
3,4,10,3.0,60.0,64,0.0005,256,0.97,1.5,0.041470881551504135,0.9868407845497131,0.07150726020336151,0.9808940291404724
3,4,10,3.0,60.0,64,0.0005,256,0.99,1.5,0.07903710752725601,0.9737083315849304,0.17783619463443756,0.948601484298706
3,4,10,3.0,60.0,64,0.0005,256,0.97,2.0,0.06842540204524994,0.9770299196243286,0.1885579526424408,0.9512152075767517
3,4,10,3.0,60.0,64,0.0005,256,0.99,2.0,0.07199905812740326,0.9720883965492249,0.13847611844539642,0.9558234810829163
3,4,10,3.0,60.0,64,0.001,128,0.97,1.0,0.1039767786860466,0.9596349000930786,0.1923384815454483,0.9418089389801025
3,4,10,3.0,60.0,64,0.001,128,0.99,1.0,0.2171759456396103,0.9111530184745789,0.26488858461380005,0.8929347991943359
3,4,10,3.0,60.0,64,0.001,128,0.97,1.5,0.20536810159683228,0.9224820137023926,0.24145448207855225,0.9113636016845703
3,4,10,3.0,60.0,64,0.001,128,0.99,1.5,0.0721384808421135,0.9761578440666199,0.1473550647497177,0.9574652910232544
3,4,10,3.0,60.0,64,0.001,128,0.97,2.0,0.14301586151123047,0.9461137652397156,0.1941564530134201,0.9260416030883789
3,4,10,3.0,60.0,64,0.001,128,0.99,2.0,0.04724220559000969,0.9850216507911682,0.1013401672244072,0.9609375
3,4,10,3.0,60.0,64,0.001,256,0.97,1.0,0.2915188670158386,0.8696959614753723,0.30408975481987,0.8714004755020142
3,4,10,3.0,60.0,64,0.001,256,0.99,1.0,0.14235442876815796,0.943671464920044,0.19040681421756744,0.9257678985595703
3,4,10,3.0,60.0,64,0.001,256,0.97,1.5,0.10682719200849533,0.9639291763305664,0.16985738277435303,0.9517669081687927
3,4,10,3.0,60.0,64,0.001,256,0.99,1.5,0.07438936829566956,0.9744194746017456,0.16955116391181946,0.941493034362793
3,4,10,3.0,60.0,64,0.001,256,0.97,2.0,0.09572698920965195,0.9614715576171875,0.16566063463687897,0.9467393159866333
3,4,10,3.0,60.0,64,0.001,256,0.99,2.0,0.021174903959035873,0.9926313161849976,0.06711827963590622,0.9763888120651245
3,4,10,3.0,60.0,128,0.0005,128,0.97,1.0,0.21552260220050812,0.9165096879005432,0.23335832357406616,0.9060136079788208
3,4,10,3.0,60.0,128,0.0005,128,0.99,1.0,0.22770561277866364,0.9102666974067688,0.23606285452842712,0.9000000357627869
3,4,10,3.0,60.0,128,0.0005,128,0.97,1.5,0.2638964056968689,0.8910439610481262,0.31405550241470337,0.8771582841873169
3,4,10,3.0,60.0,128,0.0005,128,0.99,1.5,0.19933369755744934,0.9251967668533325,0.23178982734680176,0.9259716868400574
3,4,10,3.0,60.0,128,0.0005,128,0.97,2.0,0.2871013283729553,0.8732596635818481,0.2827188968658447,0.8656250834465027
3,4,10,3.0,60.0,128,0.0005,128,0.99,2.0,0.1673033982515335,0.9373362064361572,0.1986888349056244,0.9182291030883789
3,4,10,3.0,60.0,128,0.0005,256,0.97,1.0,0.15949523448944092,0.9383959174156189,0.175202414393425,0.928597092628479
3,4,10,3.0,60.0,128,0.0005,256,0.99,1.0,0.14609327912330627,0.9348862767219543,0.17862862348556519,0.9309188723564148
3,4,10,3.0,60.0,128,0.0005,256,0.97,1.5,0.11822693049907684,0.9551018476486206,0.15872758626937866,0.9402778148651123
3,4,10,3.0,60.0,128,0.0005,256,0.99,1.5,0.05434221029281616,0.980544924736023,0.11089249700307846,0.9671875834465027
3,4,10,3.0,60.0,128,0.0005,256,0.97,2.0,0.06961949914693832,0.9764502644538879,0.08267095685005188,0.9708333611488342
3,4,10,3.0,60.0,128,0.0005,256,0.99,2.0,0.0473836250603199,0.983713686466217,0.13260391354560852,0.9590896964073181
3,4,10,3.0,60.0,128,0.001,128,0.97,1.0,0.13261042535305023,0.9533368349075317,0.20375578105449677,0.939323902130127
3,4,10,3.0,60.0,128,0.001,128,0.99,1.0,0.1684059500694275,0.9393954873085022,0.18369393050670624,0.9300340414047241
3,4,10,3.0,60.0,128,0.001,128,0.97,1.5,0.15093299746513367,0.9494426846504211,0.1503182053565979,0.9395017623901367
3,4,10,3.0,60.0,128,0.001,128,0.99,1.5,0.0855436846613884,0.9673009514808655,0.11450111865997314,0.9595323801040649
3,4,10,3.0,60.0,128,0.001,128,0.97,2.0,0.20306436717510223,0.9183579087257385,0.21337324380874634,0.9182592630386353
3,4,10,3.0,60.0,128,0.001,128,0.99,2.0,0.10628314316272736,0.9616061449050903,0.1871984452009201,0.9238831996917725
3,4,10,3.0,60.0,128,0.001,256,0.97,1.0,0.27355360984802246,0.8840569257736206,0.2846444547176361,0.8796864748001099
3,4,10,3.0,60.0,128,0.001,256,0.99,1.0,0.6839468479156494,0.5474683046340942,0.6937615871429443,0.5329897403717041
3,4,10,3.0,60.0,128,0.001,256,0.97,1.5,0.16294220089912415,0.9352729320526123,0.1751200556755066,0.9230216145515442
3,4,10,3.0,60.0,128,0.001,256,0.99,1.5,0.1768103539943695,0.9320571422576904,0.23932114243507385,0.9103040099143982
3,4,10,3.0,60.0,128,0.001,256,0.97,2.0,0.15429067611694336,0.9426685571670532,0.233185812830925,0.9354532957077026
3,4,10,3.0,60.0,128,0.001,256,0.99,2.0,0.01202929113060236,0.998037576675415,0.07086681574583054,0.9786689281463623
3,16,10,3.0,60.0,32,0.0005,128,0.97,1.0,0.14359262585639954,0.9426263570785522,0.16227561235427856,0.9421874284744263
3,16,10,3.0,60.0,32,0.0005,128,0.99,1.0,0.12638404965400696,0.9519469141960144,0.22337694466114044,0.9215548634529114
3,16,10,3.0,60.0,32,0.0005,128,0.97,1.5,0.10134461522102356,0.9632903337478638,0.12334690988063812,0.9527971744537354
3,16,10,3.0,60.0,32,0.0005,128,0.99,1.5,0.13185158371925354,0.953330934047699,0.23618237674236298,0.9292097091674805
3,16,10,3.0,60.0,32,0.0005,128,0.97,2.0,0.12874838709831238,0.9506490230560303,0.15403659641742706,0.9491166472434998
3,16,10,3.0,60.0,32,0.0005,128,0.99,2.0,0.11257611215114594,0.9566649794578552,0.21323756873607635,0.9228417873382568
3,16,10,3.0,60.0,32,0.0005,256,0.97,1.0,0.1609167754650116,0.936125636100769,0.20732517540454865,0.9233214855194092
3,16,10,3.0,60.0,32,0.0005,256,0.99,1.0,0.04196644574403763,0.9912465214729309,0.08454180508852005,0.9804844260215759
3,16,10,3.0,60.0,32,0.0005,256,0.97,1.5,0.11007846146821976,0.9605518579483032,0.1299370974302292,0.9644875526428223
3,16,10,3.0,60.0,32,0.0005,256,0.99,1.5,0.07719335705041885,0.9697862267494202,0.14700770378112793,0.9493007063865662
3,16,10,3.0,60.0,32,0.0005,256,0.97,2.0,0.09020821005105972,0.9657565355300903,0.16239450871944427,0.9321438670158386
3,16,10,3.0,60.0,32,0.0005,256,0.99,2.0,0.03884703665971756,0.9885164499282837,0.1083998829126358,0.9774323105812073
3,16,10,3.0,60.0,32,0.001,128,0.97,1.0,0.2908470630645752,0.8681778311729431,0.32291707396507263,0.858762800693512
3,16,10,3.0,60.0,32,0.001,128,0.99,1.0,0.06894557178020477,0.9770817756652832,0.14016534388065338,0.963541567325592
3,16,10,3.0,60.0,32,0.001,128,0.97,1.5,0.2047654688358307,0.9077468514442444,0.22843077778816223,0.9124556183815002
3,16,10,3.0,60.0,32,0.001,128,0.99,1.5,0.02489316463470459,0.99443519115448,0.05669580027461052,0.984123945236206
3,16,10,3.0,60.0,32,0.001,128,0.97,2.0,0.07354659587144852,0.9718416929244995,0.16082729399204254,0.9561837911605835
3,16,10,3.0,60.0,32,0.001,128,0.99,2.0,0.03161558881402016,0.9905999898910522,0.07264013588428497,0.9806272983551025
3,16,10,3.0,60.0,32,0.001,256,0.97,1.0,0.6898217797279358,0.5246584415435791,0.6942005157470703,0.5023890733718872
3,16,10,3.0,60.0,32,0.001,256,0.99,1.0,0.6836064457893372,0.5473653674125671,0.6825729012489319,0.5386363863945007
3,16,10,3.0,60.0,32,0.001,256,0.97,1.5,0.13435077667236328,0.9466043710708618,0.21311047673225403,0.9273195862770081
3,16,10,3.0,60.0,32,0.001,256,0.99,1.5,0.01281148660928011,0.9948115944862366,0.03555494174361229,0.9909555315971375
3,16,10,3.0,60.0,32,0.001,256,0.97,2.0,0.13736386597156525,0.9485361576080322,0.15159381926059723,0.9465035200119019
3,16,10,3.0,60.0,32,0.001,256,0.99,2.0,0.00498726312071085,0.9986857175827026,0.0787619948387146,0.9890784621238708
3,16,10,3.0,60.0,64,0.0005,128,0.97,1.0,0.1973831057548523,0.9247855544090271,0.23636649549007416,0.9265122413635254
3,16,10,3.0,60.0,64,0.0005,128,0.99,1.0,0.2023141235113144,0.9208338260650635,0.21032337844371796,0.9180155396461487
3,16,10,3.0,60.0,64,0.0005,128,0.97,1.5,0.18595407903194427,0.9302706122398376,0.20999594032764435,0.921330988407135
3,16,10,3.0,60.0,64,0.0005,128,0.99,1.5,0.12964986264705658,0.9553617835044861,0.172005757689476,0.9407094120979309
3,16,10,3.0,60.0,64,0.0005,128,0.97,2.0,0.08409514278173447,0.9718625545501709,0.09482240676879883,0.9642610549926758
3,16,10,3.0,60.0,64,0.0005,128,0.99,2.0,0.14765958487987518,0.9405714869499207,0.1862405240535736,0.9296875
3,16,10,3.0,60.0,64,0.0005,256,0.97,1.0,0.1962842047214508,0.9264476895332336,0.2493174821138382,0.9118055701255798
3,16,10,3.0,60.0,64,0.0005,256,0.99,1.0,0.1227673813700676,0.95388263463974,0.21466360986232758,0.9407652616500854
3,16,10,3.0,60.0,64,0.0005,256,0.97,1.5,0.08113346993923187,0.975894570350647,0.15822604298591614,0.9623697996139526
3,16,10,3.0,60.0,64,0.0005,256,0.99,1.5,0.0604846216738224,0.9812045693397522,0.08741530030965805,0.9735449552536011
3,16,10,3.0,60.0,64,0.0005,256,0.97,2.0,0.07241341471672058,0.9740694165229797,0.09568196535110474,0.9688029885292053
3,16,10,3.0,60.0,64,0.0005,256,0.99,2.0,0.058408234268426895,0.9766309261322021,0.10685431957244873,0.9659090638160706
3,16,10,3.0,60.0,64,0.001,128,0.97,1.0,0.22536540031433105,0.9035952091217041,0.2680964767932892,0.8920138478279114
3,16,10,3.0,60.0,64,0.001,128,0.99,1.0,0.1229516863822937,0.9535959959030151,0.1773415058851242,0.9420139789581299
3,16,10,3.0,60.0,64,0.001,128,0.97,1.5,0.14895103871822357,0.9433252215385437,0.18207882344722748,0.9329392910003662
3,16,10,3.0,60.0,64,0.001,128,0.99,1.5,0.07126209139823914,0.973301112651825,0.12287578731775284,0.9594501256942749
3,16,10,3.0,60.0,64,0.001,128,0.97,2.0,0.05989796668291092,0.983124315738678,0.10014905035495758,0.9750859141349792
3,16,10,3.0,60.0,64,0.001,128,0.99,2.0,0.05150012671947479,0.9838752150535583,0.17030289769172668,0.9539520144462585
3,16,10,3.0,60.0,64,0.001,256,0.97,1.0,0.12006324529647827,0.9548153877258301,0.1894088089466095,0.9425268173217773
3,16,10,3.0,60.0,64,0.001,256,0.99,1.0,0.054161377251148224,0.9789435267448425,0.07345103472471237,0.9751798510551453
3,16,10,3.0,60.0,64,0.001,256,0.97,1.5,0.2133093625307083,0.9140641093254089,0.2887396514415741,0.8881104588508606
3,16,10,3.0,60.0,64,0.001,256,0.99,1.5,0.05015929788351059,0.9816945195198059,0.17272190749645233,0.9587031602859497
3,16,10,3.0,60.0,64,0.001,256,0.97,2.0,0.10729322582483292,0.9574821591377258,0.19540636241436005,0.9486110210418701
3,16,10,3.0,60.0,64,0.001,256,0.99,2.0,0.042679790407419205,0.9868327379226685,0.09765341132879257,0.9712105989456177
3,16,10,3.0,60.0,128,0.0005,128,0.97,1.0,0.23429161310195923,0.8985884189605713,0.23110660910606384,0.8966782689094543
3,16,10,3.0,60.0,128,0.0005,128,0.99,1.0,0.19635075330734253,0.9309006929397583,0.1972622126340866,0.9329350590705872
3,16,10,3.0,60.0,128,0.0005,128,0.97,1.5,0.21043331921100616,0.9191154837608337,0.2395137995481491,0.9087837934494019
3,16,10,3.0,60.0,128,0.0005,128,0.99,1.5,0.17528481781482697,0.9353163838386536,0.19836054742336273,0.9247424006462097
3,16,10,3.0,60.0,128,0.0005,128,0.97,2.0,0.16829527914524078,0.9390488862991333,0.15235847234725952,0.934615433216095
3,16,10,3.0,60.0,128,0.0005,128,0.99,2.0,0.19432035088539124,0.9235122799873352,0.21954351663589478,0.9076511263847351
3,16,10,3.0,60.0,128,0.0005,256,0.97,1.0,0.2037048637866974,0.9203216433525085,0.21069054305553436,0.9140841364860535
3,16,10,3.0,60.0,128,0.0005,256,0.99,1.0,0.16728979349136353,0.9295729398727417,0.21087734401226044,0.9189985394477844
3,16,10,3.0,60.0,128,0.0005,256,0.97,1.5,0.08621455729007721,0.9667936563491821,0.11884036660194397,0.9599334597587585
3,16,10,3.0,60.0,128,0.0005,256,0.99,1.5,0.13880158960819244,0.9496335387229919,0.22201555967330933,0.9255642294883728
3,16,10,3.0,60.0,128,0.0005,256,0.97,2.0,0.19637231528759003,0.9233015775680542,0.21238094568252563,0.912811279296875
3,16,10,3.0,60.0,128,0.0005,256,0.99,2.0,0.07809995859861374,0.9730592966079712,0.12719593942165375,0.9593858122825623
3,16,10,3.0,60.0,128,0.001,128,0.97,1.0,0.14717014133930206,0.9524360299110413,0.17519420385360718,0.9467014670372009
3,16,10,3.0,60.0,128,0.001,128,0.99,1.0,0.11594067513942719,0.9616503119468689,0.14785009622573853,0.9483107328414917
3,16,10,3.0,60.0,128,0.001,128,0.97,1.5,0.1880115568637848,0.9336372017860413,0.22334568202495575,0.9201364517211914
3,16,10,3.0,60.0,128,0.001,128,0.99,1.5,0.1341249644756317,0.948782205581665,0.1568247526884079,0.9403780102729797
3,16,10,3.0,60.0,128,0.001,128,0.97,2.0,0.15137188136577606,0.942366361618042,0.27254146337509155,0.9141343235969543
3,16,10,3.0,60.0,128,0.001,128,0.99,2.0,0.0856601670384407,0.9701707363128662,0.1515665501356125,0.9522185325622559
3,16,10,3.0,60.0,128,0.001,256,0.97,1.0,0.20950552821159363,0.9158472418785095,0.27960526943206787,0.9030511975288391
3,16,10,3.0,60.0,128,0.001,256,0.99,1.0,0.2383115440607071,0.9040967226028442,0.26330581307411194,0.8908108472824097
3,16,10,3.0,60.0,128,0.001,256,0.97,1.5,0.2193724364042282,0.9068201780319214,0.2615574896335602,0.8819525837898254
3,16,10,3.0,60.0,128,0.001,256,0.99,1.5,0.6832465529441833,0.5442036986351013,0.6843056678771973,0.5445803999900818
3,16,10,3.0,60.0,128,0.001,256,0.97,2.0,0.16426949203014374,0.931261420249939,0.19066449999809265,0.9189003109931946
