game_nr;object;fixed indices;context condition;message
42846;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];0;[2, 14, 14, 14, 9, 0]
20399;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];0;[2, 14, 2, 14, 9, 0]
41132;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];0;[2, 14, 7, 14, 9, 0]
2018;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];0;[3, 2, 14, 14, 9, 0]
43610;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];1;[2, 14, 14, 7, 9, 0]
37980;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];1;[2, 14, 7, 14, 9, 0]
2915;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];1;[2, 14, 8, 14, 9, 0]
31220;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];1;[3, 2, 14, 14, 9, 0]
950;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];1;[3, 2, 8, 14, 9, 0]
47282;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];2;[13, 8, 14, 14, 9, 0]
61282;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];2;[2, 14, 14, 14, 9, 0]
73004;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];2;[2, 14, 2, 14, 9, 0]
17709;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];2;[3, 2, 8, 14, 9, 0]
56431;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];3;[13, 2, 8, 14, 9, 0]
31136;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];3;[3, 2, 8, 14, 9, 0]
46418;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];4;[13, 8, 8, 14, 9, 0]
1456;[3. 0. 2. 1. 3.];[1. 1. 1. 1. 1.];4;[3, 2, 8, 14, 9, 0]